"plugin_id","plugin_path","primary_theme","confidence","best_deliverable","files_to_touch","tests_to_update","verification_commands"
"binary-diff","src/plugins/binary-diff","runtime-readiness-policy","0.86","先做“radiff2 函数级 diff 可运行且 readiness 可解释”的小迭代：修正/测试 worker 脚本路径解析，增加 `radiff2` 与 Python 的 `systemDeps`/`configSchema`，并保留缺失 backend 时的 graceful warning，不改变用户输入输出协议。","src/plugins/binary-diff/binary-diff-engine.ts; src/plugins/binary-diff/index.ts; tests/unit/binary-diff.test.ts; tests/unit/tool-readiness.test.ts","新增或重构 engine 测试，直接覆盖真实 `runRizinDiff` 路径解析、`python3` 成功、`python3` 失败后 fallback `python`、worker JSON parse 失败降级。; 更新 readiness/help 相关测试，断言 `radiff2`、`RADIFF2_PATH`、Python 依赖可被 metadata 暴露。; 保留现有 structural delta 测试，并逐步停止复制 engine 纯函数，改为 import 真实实现，避免测试与实现漂移。","npm test -- --runTestsByPath tests/unit/binary-diff.test.ts tests/unit/tool-readiness.test.ts; npm run typecheck; npm run lint"
"bytecode","src/plugins/bytecode","metadata-search-profile","0.87","最小首轮建议：为 `bytecode.metadata.inspect` 增加 `bytecode.static-inventory-handoff` workflow recipe、`workflow` evidence、搜索用能力词和 surface activation aliases/findings；验证 `workflow.search` 对 PYC/Lua/V8 查询能稳定推荐该插件，且仍保持 no-interpreter/no-decompiler 的 passive 语义。","src/plugins/bytecode/tools/bytecode-metadata-inspect.ts; src/plugins/bytecode/index.ts; tests/unit/bytecode-metadata-inspect.test.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/workflow-search.test.ts","在 `tests/unit/bytecode-metadata-inspect.test.ts` 断言 tool definition 含 workflowRecipes、workflow evidence、passive safety。; 在 `tests/unit/plugin-format-matrix.test.ts` 增加 bytecode workflow recipe metadata 期望，类似已有 `javascript-deobfuscation`、`jsvmp-analysis` recipe 校验。; 在 `tests/unit/workflow-search.test.ts` 增加真实或 fixture plugin 场景：`query='python bytecode decompile'`、`file_type='PYC'`、`file_type='Lua-Bytecode'`、`file_type='V8-Cache'` 都能把 `bytecode.metadata.inspect` 放入推荐结果，且不激活/不执行工具。","npm test -- --runInBand tests/unit/bytecode-metadata-inspect.test.ts; npm test -- --runInBand tests/unit/plugin-format-matrix.test.ts; npm test -- --runInBand tests/unit/workflow-search.test.ts; npm run typecheck"
"capstone","src/plugins/capstone","metadata-search-profile","0.88","最推荐先做一个 metadata-only 小迭代：给 `disasm.quick` 与 `shellcode.disasm` 增加 workflow recipes、补充更准确的 capabilities/evidence/safety tag，并在 `capstone` 的 `surfaceRules` 增加 fileTypes 与 query/finding signalMap；不改变实际反汇编执行逻辑。","src/plugins/capstone/index.ts; src/plugins/capstone/tools/disasm-quick.ts; src/plugins/capstone/tools/shellcode-disasm.ts","tests/unit/capstone-disasm.test.ts：断言两个 tool 的 workflowRecipes、evidence categories、surface/search 相关 metadata。; tests/unit/plugin-format-matrix.test.ts：把 Capstone recipe 纳入现有 workflow recipe metadata 期望，确保矩阵能索引。; 可选：tests/unit/workflow-search.test.ts 增一个轻量 fixture，验证 query/file_type/finding 能把 Capstone 排到 shellcode/entrypoint 场景。","npm test -- --runTestsByPath tests/unit/capstone-disasm.test.ts tests/unit/plugin-format-matrix.test.ts; npm test -- --runTestsByPath tests/unit/workflow-search.test.ts tests/unit/tool-help.test.ts; npm run typecheck"
"code-analysis","src/plugins/code-analysis","metadata-search-profile","0.89","做一个“metadata-only deepening”小迭代：不改 handler 行为，给 6-7 个高价值 code-analysis tools 补齐 `aspects/artifacts/evidence/workflowRecipes/safety`，并用测试证明 `workflow.search` 和 `tool.help` 能按函数恢复、CFG、xref、native export、dotnet export 查询命中。","src/plugins/code-analysis/tools/code-functions-smart-recover.ts; src/plugins/code-analysis/tools/code-functions-define.ts; src/plugins/code-analysis/tools/code-xrefs-analyze.ts; src/plugins/code-analysis/tools/code-function-cfg.ts; src/plugins/code-analysis/tools/code-functions-reconstruct.ts; src/plugins/code-analysis/tools/code-reconstruct-export.ts; src/plugins/code-analysis/tools/dotnet-reconstruct-export.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/tool-help.test.ts; tests/unit/workflow-search.test.ts","在 `tests/unit/plugin-format-matrix.test.ts` 增加 `expectToolMetadata` 断言：`code.function.cfg` 产出 `cfg_graph_*`，`code.xrefs.analyze` 产出 xref evidence，`code.functions.reconstruct` 产出 functions/runtime-correlation evidence，`code.reconstruct.export` 和 `dotnet.reconstruct.export` 产出 reconstruction project artifacts。; 在 `tests/unit/plugin-format-matrix.test.ts` 增加 workflow recipe 断言：`reverse.function-index-recovery`、`reverse.cfg-graph-export`、`reverse.function-reconstruction`、`reverse.native-reconstruct-export`、`reverse.dotnet-reconstruct-export`。; 在 `tests/unit/workflow-search.test.ts` 增加查询覆盖：`query=""CFG graph mermaid""`、`query=""function boundary recovery""`、`file_type=dotnet goal=reverse` 应返回对应 code-analysis tool / recipe。; 在 `tests/unit/tool-help.test.ts` 扩展 metadata 展示断言，确保 artifact/evidence/workflow recipe 可被 help 输出展示。","npm test -- --runInBand --forceExit --runTestsByPath tests/unit/plugin-format-matrix.test.ts tests/unit/tool-help.test.ts tests/unit/workflow-search.test.ts tests/unit/cross-decompiler-consensus.test.ts; npx tsc --noEmit --pretty false; npm run docs:tool-catalog; git diff --check -- src/plugins/code-analysis tests/unit/plugin-format-matrix.test.ts tests/unit/tool-help.test.ts tests/unit/workflow-search.test.ts docs/tool-catalog.html docs/PLUGINS.md"
"container-analysis","src/plugins/container-analysis","metadata-search-profile","0.88","为 `container.structure.analyze` 补一个最小被动 workflow recipe，并用单测证明 recipe 可被插件矩阵/`workflow.search` 发现；同时不改变实际分析行为。","src/plugins/container-analysis/tools/container-structure-analyze.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/workflow-search.test.ts","在 `tests/unit/plugin-format-matrix.test.ts` 增加断言：`container.structure.analyze` 暴露 `workflowRecipes[0].id === 'container.archive.passive-inventory'`，并包含 `sbom.provenance.graph`、`firmware.workflow.plan`、`linux.package.inventory` 等现有下游。; 在 `tests/unit/workflow-search.test.ts` 增加 archive/container file_type 或 query 场景，验证 search result 的 `workflow_id`/`matched_profile_fields` 能体现 recipe。","npm test -- --runTestsByPath tests/unit/plugin-format-matrix.test.ts tests/unit/workflow-search.test.ts tests/unit/container-structure-analyze.test.ts; npx eslint src/plugins/container-analysis/tools/container-structure-analyze.ts tests/unit/plugin-format-matrix.test.ts tests/unit/workflow-search.test.ts --quiet; npm run typecheck"
"crackme","src/plugins/crackme","metadata-search-profile","0.86","做一个只改 metadata/测试/文档的小迭代：为 crackme 的 4 个 tool 增加保守的 tool 级 `aspects`、`artifacts`、`evidence`、`workflowRecipes`；为 worker-backed tool 声明 `workerBackend` 和 opt-in runtime policy；修正 `ANGR_AVAILABLE`→`ANGR_PYTHON` 及 Speakeasy/Qiling deps 的声明，并修 `docs/PLUGINS.md` 工具数。","src/plugins/crackme/index.ts; src/plugins/crackme/tools/crackme-locate-validation.ts; src/plugins/crackme/tools/symbolic-explore.ts; src/plugins/crackme/tools/patch-generate.ts; src/plugins/crackme/tools/keygen-verify.ts; tests/unit/crackme-plugin-metadata.test.ts; docs/PLUGINS.md","新增 `tests/unit/crackme-plugin-metadata.test.ts`：注册插件后断言 4 个 tool 存在，tool 级 aspects/artifacts/evidence/workflowRecipes 不为空，`symbolic.explore`/`keygen.verify` 有 workerBackend/runtimePolicy。; 更新或补充 plugin/search 相关断言：`workflow.search` 以 query=`crackme serial validation keygen`、file_type=`.exe`、goal=`reverse` 时能推荐 `crackme` 和关键工具。; 保留现有 handler 行为测试不变，避免首迭代误触 worker 执行。","npm test -- --runTestsByPath tests/unit/crackme-plugin-metadata.test.ts tests/unit/workflow-search.test.ts; npm test -- --runTestsByPath tests/unit/crackme-locate-validation.test.ts tests/unit/symbolic-explore.test.ts tests/unit/keygen-verify.test.ts tests/unit/patch-generate.test.ts; npm run docs:tool-catalog; npm run typecheck"
"cross-module","src/plugins/cross-module","metadata-search-profile","0.88","Metadata-first 深化：让 `cross-module` 的 3 个工具在 `plugin.list`、`workflow.search`、aspect matrix 和 docs 中可被精确发现。具体交付为 tool-level aspects/artifacts/evidence/workflowRecipes、增强后的 plugin safety/surfaceRules，以及 `index.ts` 中可供发现面读取的 declarative `tools` metadata；不改算法行为。","src/plugins/cross-module/index.ts; src/plugins/cross-module/tools/cross-binary-compare.ts; src/plugins/cross-module/tools/call-graph-cross-module.ts; src/plugins/cross-module/tools/dll-dependency-tree.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/workflow-search.test.ts","在 `tests/unit/plugin-format-matrix.test.ts` 增加 `expectToolMetadata` 覆盖 `cross.binary.compare`、`call.graph.cross.module`、`dll.dependency.tree` 的 formats/artifacts/evidence。; 在 workflow recipe metadata 断言中加入 cross-module recipe，例如 `cross-module.multi-sample-correlation`、`cross-module.call-graph-correlation`、`cross-module.dependency-sideload-triage`，检查 startsWith、nextTools、producesArtifacts、evidence、safety。; 在 `tests/unit/workflow-search.test.ts` 增加一个搜索用例：query 包含 `dll sideload` 或 `multi sample lineage` 时，推荐结果命中 `cross-module`，并带有 workflow score / recommended tools。","npm test -- tests/unit/plugin-format-matrix.test.ts tests/unit/workflow-search.test.ts; npm test -- tests/unit/cross-binary-compare.test.ts tests/unit/call-graph-cross-module.test.ts tests/unit/dll-dependency-tree.test.ts; npm run typecheck; npm run docs:tool-catalog"
"culifter","src/plugins/culifter","artifact-evidence-quality","0.9","把 `culifter.gpu.artifact.inventory` 从 fixture-only builtin worker 深化为无 GPU、无外部后端的被动 GPU artifact inventory：读取 bounded local artifact preview，识别 CUDA/fatbin/PTX/SASS/kernel/SM architecture hints，输出 `gpu_artifact_inventory`、`gpu_kernel_summary`、policy、warnings、provenance 和 recommended next tools。","src/plugins/culifter/index.ts; src/plugins/culifter/tools/culifter-gpu-artifact-inventory.ts; tests/unit/culifter-worker.test.ts; tests/unit/culifter-gpu-artifact-inventory.test.ts; tests/unit/plugin-format-matrix.test.ts","新增 Buffer fixture 单测：PTX 文本含 `.visible .entry`、`.target sm_80` 时返回 kernel/architecture/PTX candidate。; 新增 Buffer fixture 单测：ELF/native preview 中含 `.nv_fatbin`、`__cudaFatBin`、`cudaLaunchKernel`、SASS/`SM80` marker 时返回 fatbin/SASS/host-device hints。; 更新 `culifter-worker.test.ts`：继续验证 `backend-worker.v1` 和 `gpu_driver_required: false`，同时断言 builtin worker 返回结构化 inventory 字段、policy/no execution 语义。; 如 formats/evidence/artifacts 有变动，更新 `plugin-format-matrix.test.ts` 对 `culifter.gpu.plan` 和 worker metadata 的期望。","npm test -- tests/unit/culifter-worker.test.ts tests/unit/culifter-gpu-artifact-inventory.test.ts tests/unit/plugin-format-matrix.test.ts --runInBand; npm run lint; npm run typecheck"
"debug-session","src/plugins/debug-session","functional-worker-depth","0.86","优先把 `debug.session.snapshot` 做成真实 active-session 只读快照：session 不存在时失败；存在时采集 registers、stack、disasm 和用户指定 memory dumps；memory map/modules 先 best-effort，保留清晰 warnings。这个迭代直接把一个已暴露但占位的能力变成可用能力，风险和改动面都可控。","src/plugins/debug-session/tools/debug-session-snapshot.ts; tests/unit/debug-session-snapshot.test.ts; tests/unit/debug-session.test.ts","新增 `tests/unit/debug-session-snapshot.test.ts`：验证 schema defaults、unknown session 失败、active fake session 下按 include flags 调用 GDB commands、单项 GDB 失败时返回 partial data/warnings。; 更新 `tests/unit/debug-session.test.ts`：补齐 `debug.session.smart_breakpoint`、`debug.session.snapshot`、`debug.session.watch` 的导出断言，因为当前只覆盖前 6 个工具。","npm test -- tests/unit/debug-session-snapshot.test.ts tests/unit/debug-session.test.ts; npm test -- tests/unit/debug-session-inspect.test.ts tests/unit/debug-session-step.test.ts tests/unit/debug-session-continue.test.ts; npm run lint -- --quiet; npm run typecheck"
"deep-unpack","src/plugins/deep-unpack","metadata-search-profile","0.88","做一个 metadata-only 深化迭代：为 deep-unpack 插件和 3 个工具补真实范围的 tool-level aspects/artifacts/evidence/workflowRecipes/runtimePolicy/workerBackend，并用单元测试断言它们能被注册、帮助和 workflow profile 发现；不改变实际脱壳行为。","src/plugins/deep-unpack/index.ts; src/plugins/deep-unpack/tools/deep-unpack-pipeline.ts; src/plugins/deep-unpack/tools/deep-unpack-dump-scan.ts; src/plugins/deep-unpack/tools/deep-unpack-pe-reconstruct.ts; tests/unit/deep-unpack-metadata.test.ts","新增 `tests/unit/deep-unpack-metadata.test.ts`：用 plugin harness 注册 `deep-unpack`，断言 3 个工具存在、各自声明 `workflowRecipes`、artifact/evidence、runtime policy 或 worker backend。; 必要时补 `tests/unit/tool-help.test.ts` 或 `tests/unit/plugin-list.test.ts` 的 targeted fixture，确认 `workflow_recipes`、`worker_backend`、`runtime_policy` 会出现在帮助/列表输出。","npm test -- tests/unit/deep-unpack-metadata.test.ts; npm test -- tests/unit/tool-help.test.ts tests/unit/plugin-list.test.ts tests/unit/plugin-format-matrix.test.ts; npm run typecheck"
"die","src/plugins/die","runtime-readiness-policy","0.88","统一 DIE backend 配置命名：`DIE_PATH` 作为 canonical，`DIEC_PATH` 作为兼容 alias；插件 metadata、resolver、setup guidance/test 对齐，确保设置任一变量都能发现 `diec`。","src/plugins/die/index.ts; src/config/index.ts; src/infrastructure/static-backend-discovery.ts; src/infrastructure/setup-guidance.ts; tests/unit/setup-guidance.test.ts; tests/unit/plugin-format-matrix.test.ts","新增或扩展 env/config 测试，验证 `DIE_PATH` 和 `DIEC_PATH` 都能填充 `workers.static.diePath` 或被 `resolveDieCli` 识别。; 更新 setup guidance 断言，确认提示中包含 canonical `DIE_PATH`，并说明 `DIEC_PATH` 是兼容 alias。; 更新 plugin metadata/format matrix 断言，确认 `die` system dependency env var 与 resolver 一致。","npm test -- --runTestsByPath tests/unit/setup-guidance.test.ts tests/unit/plugin-format-matrix.test.ts tests/unit/die-scan.test.ts; npm run build"
"dotnet-decompile","src/plugins/dotnet-decompile","metadata-search-profile","0.87","完成 metadata-first 深化：为 `dotnet.decompile` 和 `dotnet.decompile.type` 声明工具级 aspects、artifact/evidence 输出、passive source-recovery workflowRecipe，并把 `surfaceRules.activateOn` 扩展到 `pe-clr`/`dotnet`/`nupkg`/`mono`/`winmd` fileTypes。该迭代不改变反编译执行路径，但会立刻提升 search/readiness/help 的可发现性和可解释性。","src/plugins/dotnet-decompile/index.ts; src/plugins/dotnet-decompile/tools/dotnet-decompile.ts; src/plugins/dotnet-decompile/tools/dotnet-decompile-type.ts; tests/unit/plugin-format-matrix.test.ts","在 `tests/unit/plugin-format-matrix.test.ts` 增加 `dotnet-decompile` 的 registered tool metadata 断言：formats 包含 `dotnet`/`pe-clr`，artifact type 包含 `dotnet_decompile`，evidence 包含 `artifact`/`provenance`/`workflow`。; 在同一测试中增加 workflowRecipe 断言：recipe 从 `dotnet.assembly.inspect`/`dotnet.metadata.extract`/`dotnet.types.list` 进入，nextTools 包含 `artifact.read`、`managed.il_xrefs`、`dotnet.reconstruct.export` 或 `report.generate`。; 可选增加 surfaceRules 断言：`dotnet-decompile` tier 仍为 2，`activateOn.fileTypes` 覆盖 `pe-clr`、`dotnet`、`nupkg`、`mono`、`winmd`。","npm test -- --runTestsByPath tests/unit/plugin-format-matrix.test.ts; npm test -- --runTestsByPath tests/unit/tools-discover.test.ts tests/unit/tool-readiness.test.ts; npm run typecheck"
"dotnet-managed","src/plugins/dotnet-managed","metadata-search-profile","0.88","先做 metadata-only 的 `dotnet.static.inventory` workflow recipe，并补 `cil` architecture/evidence tags，让 `workflow.search`、`tools.discover`、`tool-aspect-matrix` 能把 `dotnet.assembly.inspect` 稳定识别为 .NET 被动 inventory 入口；不改变解析逻辑。","src/plugins/dotnet-managed/index.ts; src/plugins/dotnet-managed/tools/dotnet-assembly-inspect.ts; tests/unit/plugin-format-matrix.test.ts","在 `tests/unit/plugin-format-matrix.test.ts` 中断言 `dotnet-managed` 或 `dotnet.assembly.inspect` 暴露 `workflowRecipes[0].id === 'dotnet.static.inventory'`。; 断言 aspect matrix `by_workflow` 包含 `dotnet.static.inventory`，且 target `pe-clr/nupkg` 推荐 `dotnet.assembly.inspect`。; 断言 architectures 包含 `cil`，evidence/artifact declarations 覆盖 `dotnet_assembly_inventory`、manifest、package-metadata、resources/provenance。","npm test -- tests/unit/plugin-format-matrix.test.ts --runInBand; npm test -- tests/unit/workflow-search.test.ts --runInBand; npm run typecheck"
